method,jaccard_distance,bertscore_f1,backwards_bleu,bleu,rougeL,rouge2,rouge1,ngram_diversity_score,homogenization_score_bertscore,homogenization_score_rougel,homogenization_score_bleu,compression_ratio,avg_luar_cosine_similarity,avg_flesch_reading_score,avg_length
ground_truth,,,,,,,,2.9790,0.6980,0.1220,0.0112,2.5438,,75.8098,1140.4592
oracle,0.8772,0.8213,0.0235,0.0227,0.1560,0.0891,0.4403,2.4556,0.7066,0.1514,0.0428,3.1328,0.7653,79.3523,915.8625
vanilla,0.8888,0.8145,0.0116,0.0111,0.1477,0.0722,0.4128,2.4982,0.7138,0.1554,0.0474,3.0422,0.7418,77.5711,913.5527
vanilla_few_shot,0.8852,0.8160,0.0109,0.0103,0.1497,0.0756,0.4234,2.5458,0.7094,0.1544,0.0480,3.0082,0.7541,79.5482,853.3050
delta,0.8868,0.8148,0.0104,0.0099,0.1487,0.0743,0.4149,2.4768,0.7104,0.1512,0.0414,3.0976,0.7552,78.9258,907.2513
schema,0.8868,0.8156,0.0115,0.0110,0.1483,0.0726,0.4159,2.4120,0.7084,0.1500,0.0432,3.1574,0.7588,79.3929,911.1338
schema_persona,0.8874,0.8155,0.0115,0.0109,0.1479,0.0710,0.4125,2.3852,0.7104,0.1516,0.0412,3.1954,0.7643,79.2357,913.4263
delta_schema,0.8859,0.8152,0.0117,0.0112,0.1477,0.0727,0.4144,2.2484,0.7096,0.1468,0.0394,3.4056,0.7600,80.6891,987.4092
delta_schema_persona,0.8879,0.8153,0.0112,0.0106,0.1481,0.0718,0.4132,2.3660,0.7092,0.1486,0.0394,3.2300,0.7606,80.5615,936.8369
