method,jaccard_distance,bertscore_f1,backwards_bleu,bleu,rougeL,rouge2,rouge1,ngram_diversity_score,homogenization_score_bertscore,homogenization_score_rougel,homogenization_score_bleu,compression_ratio,avg_luar_cosine_similarity,avg_flesch_reading_score,avg_length
ground_truth,,,,,,,,2.9790,0.6980,0.1220,0.0112,2.5438,,75.8098,1140.4592
oracle,0.8777,0.8232,0.0293,0.0271,0.1568,0.0923,0.4290,2.7680,0.7064,0.1476,0.0368,2.8010,0.7853,76.8220,740.4832
vanilla,0.8912,0.8142,0.0110,0.0103,0.1462,0.0712,0.4081,2.7384,0.7132,0.1554,0.0458,2.8116,0.7544,76.4381,807.3128
vanilla_few_shot,0.8901,0.8153,0.0101,0.0093,0.1466,0.0726,0.4087,2.7510,0.7104,0.1504,0.0430,2.8210,0.7609,77.2650,760.2361
delta,0.8935,0.8149,0.0098,0.0087,0.1450,0.0702,0.3996,2.7762,0.7092,0.1516,0.0388,2.7980,0.7628,77.3333,730.8507
schema,0.8915,0.8151,0.0105,0.0096,0.1457,0.0708,0.4028,2.7472,0.7110,0.1522,0.0420,2.8282,0.7661,77.4803,745.4130
schema_persona,0.8913,0.8156,0.0104,0.0095,0.1465,0.0710,0.4054,2.7430,0.7110,0.1522,0.0438,2.8302,0.7640,77.9210,742.5812
delta_schema,0.8912,0.8155,0.0098,0.0088,0.1450,0.0703,0.4037,2.7712,0.7102,0.1508,0.0382,2.8020,0.7652,78.0124,734.2946
delta_schema_persona,0.8929,0.8158,0.0094,0.0083,0.1452,0.0706,0.4031,2.7314,0.7114,0.1506,0.0414,2.8450,0.7649,79.0699,746.5262
