method,jaccard_distance,bertscore_f1,backwards_bleu,bleu,rougeL,rouge2,rouge1,ngram_diversity_score,homogenization_score_bertscore,homogenization_score_rougel,homogenization_score_bleu,compression_ratio,author_attr_cosine_similarity,avg_luar_cosine_similarity,avg_flesch_reading_score,avg_length
ground_truth,,,,,,,,2.9378,0.7015,0.1222,0.0103,2.5432,0.7402,,77.0922,1073.9254
oracle,0.8751,0.8262,0.0315,0.0311,0.1577,0.0921,0.4483,2.8098,0.7167,0.1427,0.0245,2.7172,0.6385,0.7707,75.0257,930.1234
vanilla,0.8841,0.8172,0.0123,0.0122,0.1448,0.0737,0.4327,2.7642,0.7190,0.1415,0.0363,2.7368,0.6149,0.7306,79.0335,985.2249
vanilla_few_shot,0.8846,0.8180,0.0118,0.0117,0.1463,0.0734,0.4311,2.7905,0.7212,0.1428,0.0308,2.7285,0.6161,0.7359,76.8021,946.9089
delta,0.8930,0.8157,0.0116,0.0114,0.1450,0.0674,0.4088,2.7932,0.7217,0.1462,0.0277,2.7387,0.6218,0.7391,73.6691,929.4888
schema,0.8898,0.8167,0.0113,0.0111,0.1450,0.0692,0.4174,2.7978,0.7222,0.1445,0.0297,2.7447,0.6400,0.7459,74.5653,939.3939
schema_persona,0.8929,0.8159,0.0109,0.0108,0.1451,0.0669,0.4097,2.7655,0.7237,0.1460,0.0280,2.7690,0.6324,0.7432,73.2343,964.5470
delta_schema,0.8904,0.8170,0.0115,0.0114,0.1464,0.0701,0.4197,2.7380,0.7208,0.1433,0.0280,2.7833,0.6451,0.7544,75.0937,950.3853
delta_schema_persona,0.8926,0.8155,0.0103,0.0102,0.1454,0.0665,0.4119,2.7510,0.7215,0.1440,0.0265,2.7662,0.6446,0.7532,73.5704,959.0325
