category,oracle,vanilla_few_shot,delta,schema,schema_persona,delta_schema,delta_schema_persona
Plot,38.01 + (16.28),32.18 + (15.56),43.58 + (20.31),49.0 + (11.19),59.98 + (17.88),47.02 + (15.04),51.53 + (18.07)
Creativity,38.56 + (15.66),33.58 + (16.44),40.31 + (14.49),48.63 + (12.8),43.88 + (15.98),42.72 + (7.82),43.88 + (11.35)
Development (Character and Setting),34.39 + (2.95),34.17 + (5.58),41.34 + (5.4),40.76 + (3.79),44.58 + (6.51),43.36 + (3.9),45.17 + (6.04)
Language Use,32.98 + (13.46),37.77 + (12.42),48.92 + (11.54),53.08 + (4.99),49.39 + (12.1),51.3 + (10.03),54.62 + (8.52)
