category,oracle,vanilla_few_shot,delta,schema,schema_persona,delta_schema,delta_schema_persona
Plot,59.23 + (7.97),31.16 + (21.45),44.99 + (15.22),74.44 + (2.45),70.09 + (6.42),64.3 + (7.77),67.2 + (11.04)
Creativity,63.68 + (7.52),31.06 + (26.73),49.86 + (18.26),70.79 + (2.32),81.58 + (4.43),65.26 + (8.32),73.48 + (6.51)
Development (Character and Setting),47.28 + (3.64),50.44 + (3.53),50.13 + (5.94),60.45 + (5.98),53.11 + (1.95),53.65 + (1.2),61.91 + (2.7)
Language Use,51.53 + (8.9),37.45 + (13.29),49.83 + (11.71),64.54 + (3.39),72.0 + (2.43),59.11 + (4.33),63.8 + (3.28)
