category,oracle,vanilla_few_shot,delta,schema,schema_persona,delta_schema,delta_schema_persona
Plot,43.1 + (20.36),39.14 + (20.04),35.14 + (20.47),61.03 + (13.85),52.84 + (17.13),49.14 + (13.91),52.18 + (22.83)
Creativity,47.44 + (15.82),29.96 + (22.58),41.09 + (18.33),59.93 + (16.39),42.33 + (16.06),48.61 + (16.59),44.48 + (17.87)
Development (Character and Setting),41.18 + (4.11),31.13 + (6.64),39.99 + (4.61),47.32 + (5.79),38.39 + (6.56),54.95 + (4.5),47.22 + (3.12)
Language Use,43.49 + (14.21),45.79 + (15.02),47.68 + (6.4),52.13 + (6.38),50.61 + (9.42),56.33 + (7.49),51.11 + (7.24)
